Time t;Signal Amplitude
0.124896;0.978514
0.124927;0.952627
0.124958;0.916959
0.124989;0.871878
0.12502;0.817845
0.125051;0.755415
0.125082;0.68523
0.125113;0.60801
0.125144;0.524547
0.125175;0.435699
0.125206;0.342378
0.125237;0.245542
0.125268;0.146185
0.125299;0.0453271
0.12533;-0.0559961
0.125361;-0.156744
0.125392;-0.255884
0.125423;-0.352396
0.125454;-0.44529
0.125485;-0.533612
0.125516;-0.616456
0.125547;-0.692971
0.125578;-0.762372
0.125609;-0.823945
0.12564;-0.877059
0.125671;-0.921169
0.125702;-0.955822
0.125733;-0.980661
0.125764;-0.995432
0.125794;-0.999983
0.125825;-0.994268
0.125856;-0.978345
0.125887;-0.952378
0.125918;-0.916633
0.125949;-0.871477
0.12598;-0.817374
0.126011;-0.754879
0.126042;-0.684634
0.126073;-0.60736
0.126104;-0.523851
0.126135;-0.434963
0.126166;-0.34161
0.126197;-0.244749
0.126228;-0.145376
0.126259;-0.0445102
0.12629;0.0568125
0.126321;0.157552
0.126352;0.256674
0.126383;0.353161
0.126414;0.446022
0.126445;0.534303
0.126476;0.6171
0.126507;0.69356
0.126538;0.762901
0.126569;0.824408
0.1266;0.877452
0.126631;0.921487
0.126662;0.956062
0.126693;0.980821
0.126724;0.99551
0.126755;0.999978
0.126786;0.994181
0.126817;0.978176
0.126848;0.952128
0.126879;0.916306
0.12691;0.871076
0.126941;0.816902
0.126972;0.754342
0.127003;0.684038
0.127034;-0.60671
0.127065;-0.523154
0.127096;-0.434227
0.127127;-0.340841
0.127158;-0.243956
0.127189;-0.144567
0.12722;-0.0436933
0.127251;0.0576289
0.127282;0.158359
0.127313;0.257464
0.127344;0.353926
0.127375;0.446753
0.127406;0.534994
0.127437;0.617743
0.127468;0.694149
0.127499;0.763429
0.12753;0.824871
0.127561;0.877844
0.127592;0.921804
0.127623;0.956301
0.127654;0.98098
0.127685;0.995587
0.127715;0.999973
0.127746;0.994092
0.127777;0.978006
0.127808;0.951878
0.127839;0.915978
0.12787;0.870674
0.127901;0.816431
0.127932;0.753805
0.127963;0.683441
0.127994;0.60606
0.128025;0.522457
0.128056;0.43349
0.128087;0.340072
0.128118;0.243163
0.128149;0.143758
0.12818;0.0428764
0.128211;-0.0584452
0.128242;-0.159167
0.128273;-0.258254
0.128304;-0.35469
0.128335;-0.447485
0.128366;-0.535685
0.128397;-0.618386
0.128428;-0.694738
0.128459;-0.763957
0.12849;-0.825333
0.128521;-0.878235
0.128552;-0.922121
0.128583;-0.95654
0.128614;-0.981138
0.128645;-0.995663
0.128676;-0.999966
0.128707;-0.994003
0.128738;-0.977835
0.128769;-0.951627
0.1288;-0.915649
0.128831;-0.870271
0.128862;-0.815958
0.128893;-0.753268
0.128924;-0.682844
0.128955;-0.60541
0.128986;-0.52176
0.129017;-0.432753
0.129048;-0.339303
0.129079;-0.24237
0.12911;-0.142949
0.129141;-0.0420594
0.129172;0.0592615
0.129203;0.159974
0.129234;0.259044
0.129265;0.355455
0.129296;0.448216
0.129327;0.536375
0.129358;0.619028
0.129389;0.695326
0.12942;0.764484
0.129451;0.825794
